source
Wilburn Holding Co./Boominati/Epic/Republic
Rubyworks / Universal-Island Records Ltd
Major Recordings/Warner Records
Spinnin' Records
BELIFT LAB
"Hundred Days Records, LLC"
Geffen/Interscope Records
G-EAZY
Robots & Humans/Columbia
Caiola Records
"Cole World, Inc. under exclusive license to Interscope Records"
YG Marley Music/Hitmaker Distro
YG Entertainment
Slumbo Labs/RCA Records
8123 / Arista Records
Republic Records - TXT
Records/Columbia
Columbia/B1 Recordings/Ultra Records
"Artist Partner Group, Inc."
Chappell Roan PS/ Island
Tropa do Serrão
American Dogwood / EMPIRE
Kartel Music
Black Butter
Wave Music Group
GMR
Twisted Elegance
Virgin Music Label And Artist Services (S&D)
"Kendrick Lamar, under exclusive license to Interscope Records"
PULSE Records
Houze Istanbul
KOZ Entertainment
DALE PLAY Records / Flakk Team
Whiteheart Records/WM Germany
Astro Produções
MUSIC LAB JPN
A$AP Worldwide/Polo Grounds Music/RCA Records
Kendrick Lamar under exclusive license to Interscope Records
Bayhan Gürhan
Artbeatz - Daya
Open Shift/gamma.
Better Now Records
2024 Double P Records
Polydor / Universal Music Hrvatska
Universal Music Division Capitol Music France
Bad Vibes Forever / EMPIRE
Legacy Recordings
Republic Records - Stray Kids
Mr.305/Polo Grounds Music/J Records
2024 SAIKONETA
SM Entertainment
GSL
DJ TOPO
Sonar LLC.
"UMG Recordings, Inc./Universal Music Latino"
"Tommy Boy Music, LLC"
Konvict/Upfront/SRC/Universal Records
"Gracie Abrams, under exclusive license to Interscope Records"
FEID
"Tinashe Music Inc., under exclusive license to Nice Life Recording Company"
Music VIP Entertainment Presenta Grupo Firme
OCESA Seitrack
Doug Filmes
Keinemusik
Tarsier Records
Seven Ridges Records/Columbia Nashville
Mercury Records/Post Malone
BMG Rights Management (US) LLC
Lloud Co./RCA Records
Quality Control Music/Motown Records
Saregama India Ltd
Epic Amsterdam
Fifty One
Open Shift Distribution
Universal Music Philippines Inc.
WM Germany
Artist Partner
Universal Music India Pvt Ltd.
UROK
"Ultra Records, LLC"
RCA/Legacy
Henrique & Juliano
Orang Pertunjukan
Shawn Mendes LP4-5 PS/ Island
Juni Records
Mercury Records / Republic Records
Gigi Perez PS/ Island
Big Brother Recordings Ltd
Universal Music Latino
Som Livre
"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic"
HYBE/Geffen
Nattan
Surf Curse
Fueled By Ramen
HV Recordings
AWGE/Interscope Records
"Copar Music, Inc"
"APG, Inc. - Odetari II"
Isekai Records
Rimas Entertainment LLC.
Wilburn Holding Co./Epic
Mr. 305 Records / Rimas Entertainment
world in red
TLP Records
Rancho Humilde/Sony Music Latin
Universal Music Australia Pty. Ltd.
PARASIEMPRE.wav Records
A$AP Worldwide/RCA Records
OA Entertainment/Columbia
Rico o Muerto Music LLC
Syco Music UK
aespa
"Lazy Hooks, LLC"
Sonar Music
Arista/Legacy
Decca Music Group Ltd.
EMI Gold
2018
DALE PLAY Records / SSJ Records
MCA Nashville
Nice Life/Atlantic
Universal Digital Enterprises
Universal Records
Capitol Records
Reprise
Chezile / 10K Projects
EDITORA E GRAVADORA A BASE RECORDS
"pgLang, under exclusive license to Interscope Records"
Riot Games
Universal Studios and Republic Records
Juice WRLD Mixtape / ISR P&D
CMG/Interscope Records
Street Mob Records/PFL/Geffen Records
Royalty Records/Sony Music Latin
Masterworks
Geffen
Grade A Productions/Interscope Records
EMI Catalogue
Paul McCartney Catalog
WTM CLASSIC
CAPITOL CATALOG MKT (C92)
Geffen*
Laufey
RCA Victor
RCA Bluebird
White Christmas
WM UK
New Music
UME - Global Clearing House
Rhino/Elektra
UMGRI Interscope
Fantasy Records
NITRON concepts
Kesha Records
Jonas Brothers
Vingolf Recordings
Rhino Atlantic
Verve Reissues
BMG Rights Management (UK) Ltd.
WMD
CONMUER LLC
Mainstreet Records
FRANK SINATRA HYBRID
Josa Records
Virgin Records Ltd
Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin
Sua Música Digital
Mr.305/Polo Grounds Music/RCA Records
Latin Brega by HITLAB Records
Streamline/Interscope
