,vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
3180,181,Arctic Monkeys,Why'd You Only Call Me When You're High?,95,-1,122,8691031,True,-182,Thấp,Dài hạn
3181,182,Maroon 5,Maps,171,199,16,8653349,False,17,Thấp,Dài hạn
3182,183,AC/DC,Highway to Hell,152,181,7,8630944,False,-2,Thấp,Trung hạn
3183,184,"Gabito Ballesteros, Natanael Cano",El Boss,142,142,3,8612888,False,-42,Thấp,Ngắn hạn
3184,185,Plan B,Es un Secreto,157,-1,25,8550240,True,-186,Thấp,Dài hạn
3185,186,"Tyla, Gunna, Skillibeng",Jump,186,-1,1,8541890,True,-187,Thấp,Ngắn hạn
3186,187,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),170,193,7,8524984,False,6,Thấp,Trung hạn
3187,188,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),175,195,6,8457910,False,7,Thấp,Trung hạn
3188,189,The Goo Goo Dolls,Iris,93,-1,37,8454474,True,-190,Thấp,Dài hạn
3189,190,Beach Weather,"Sex, Drugs, Etc.",58,170,32,8451155,False,-20,Thấp,Dài hạn
3190,191,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,47,-1,34,8431157,True,-192,Thấp,Dài hạn
3191,192,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),28,146,27,8411218,False,-46,Thấp,Dài hạn
3192,193,The Weeknd,Save Your Tears,2,187,170,8410721,False,-6,Thấp,Dài hạn
3193,194,Imagine Dragons,Bones,26,188,99,8382353,False,-6,Thấp,Dài hạn
3194,195,"Earth, Wind & Fire",September,132,190,10,8379880,False,-5,Thấp,Trung hạn
3195,196,Arctic Monkeys,Do I Wanna Know?,98,-1,130,8377884,True,-197,Thấp,Dài hạn
3196,197,"Kendrick Lamar, SZA",All The Stars (with SZA),2,192,48,8369426,False,-5,Thấp,Dài hạn
3197,198,Bruno Mars,Talking to the Moon,45,-1,56,8362909,True,-199,Thấp,Dài hạn
3198,199,Taylor Swift,Don’t Blame Me,71,-1,86,8360783,True,-200,Thấp,Dài hạn
3199,200,Fuerza Regida,SABOR FRESA,15,184,28,8346448,False,-16,Thấp,Dài hạn
3200,1,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),1,-1,1,102878399,True,-2,Rất cao,Ngắn hạn
3201,2,Taylor Swift,Down Bad,2,-1,1,66123951,True,-3,Rất cao,Ngắn hạn
3202,3,Artemas,i like the way you kiss me,1,1,5,62659568,False,-2,Rất cao,Trung hạn
3203,4,Taylor Swift,"So Long, London",4,-1,1,61238184,True,-5,Rất cao,Ngắn hạn
3204,5,Taylor Swift,I Can Do It With a Broken Heart,5,-1,1,61235217,True,-6,Rất cao,Ngắn hạn
3205,6,Taylor Swift,The Tortured Poets Department,6,-1,1,59746801,True,-7,Rất cao,Ngắn hạn
3206,7,Taylor Swift,My Boy Only Breaks His Favorite Toys,7,-1,1,57022276,True,-8,Rất cao,Ngắn hạn
3207,8,"FloyyMenor, Cris Mj",Gata Only,3,3,11,54990825,False,-5,Rất cao,Trung hạn
3208,9,Taylor Swift,But Daddy I Love Him,9,-1,1,53434247,True,-10,Rất cao,Ngắn hạn
3209,10,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),10,-1,1,50743539,True,-11,Rất cao,Ngắn hạn
3210,11,Hozier,Too Sweet,2,2,5,49962942,False,-9,Rất cao,Trung hạn
3211,12,Taylor Swift,Who’s Afraid of Little Old Me?,12,-1,1,49947775,True,-13,Rất cao,Ngắn hạn
3212,13,Sabrina Carpenter,Espresso,8,8,2,47706627,False,-5,Rất cao,Ngắn hạn
3213,14,Taylor Swift,Guilty as Sin?,14,-1,1,46162711,True,-15,Rất cao,Ngắn hạn
3214,15,Benson Boone,Beautiful Things,1,5,14,43434946,False,-10,Rất cao,Dài hạn
3215,16,Djo,End of Beginning,3,4,10,41369783,False,-12,Rất cao,Trung hạn
3216,17,Ariana Grande,we can't be friends (wait for your love),1,6,7,40804026,False,-11,Rất cao,Trung hạn
3217,18,Taylor Swift,Fresh Out The Slammer,18,-1,1,40767376,True,-19,Rất cao,Ngắn hạn
3218,19,Taylor Swift,loml,19,-1,1,40678925,True,-20,Rất cao,Ngắn hạn
3219,20,Taylor Swift,The Smallest Man Who Ever Lived,20,-1,1,39919938,True,-21,Rất cao,Ngắn hạn
3220,21,Taylor Swift,The Alchemy,21,-1,1,37877255,True,-22,Rất cao,Ngắn hạn
3221,22,Taylor Swift,I Can Fix Him (No Really I Can),22,-1,1,36512277,True,-23,Rất cao,Ngắn hạn
3222,23,Taylor Swift,Clara Bow,23,-1,1,32571347,True,-24,Rất cao,Ngắn hạn
3223,24,Tate McRae,greedy,1,7,32,29661409,False,-17,Rất cao,Dài hạn
3224,25,Teddy Swims,Lose Control,5,10,24,28893038,False,-15,Rất cao,Dài hạn
3225,26,Taylor Swift,The Black Dog,26,-1,1,28298585,True,-27,Rất cao,Ngắn hạn
3226,27,Drake,Push Ups,27,-1,1,27857876,True,-28,Rất cao,Ngắn hạn
3227,28,Taylor Swift,imgonnagetyouback,28,-1,1,27751934,True,-29,Rất cao,Ngắn hạn
3228,29,Taylor Swift,So High School,29,-1,1,26683682,True,-30,Rất cao,Ngắn hạn
3229,30,"Future, Metro Boomin, Kendrick Lamar",Like That,4,9,5,26480530,False,-21,Rất cao,Trung hạn
3230,31,Taylor Swift,thanK you aIMee,31,-1,1,25980842,True,-32,Rất cao,Ngắn hạn
