vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
33,Ariana Grande,bye,13,13,2,16556139,False,-20,Rất cao,Ngắn hạn
34,"Bad Bunny, Feid",PERRO NEGRO,4,37,23,16436219,False,3,Rất cao,Dài hạn
35,YG Marley,Praise Jah In The Moonlight,13,30,8,16431206,False,-5,Rất cao,Trung hạn
36,Michael Marcagi,Scared To Start,36,51,7,16370630,False,15,Rất cao,Trung hạn
37,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),20,46,30,16195597,False,9,Rất cao,Dài hạn
38,Kenya Grace,Strangers,4,39,29,16163697,False,1,Rất cao,Dài hạn
39,Ariana Grande,eternal sunshine,15,15,2,16006006,False,-24,Rất cao,Ngắn hạn
40,"The Weeknd, Daft Punk",Starboy,1,47,181,15863939,False,7,Rất cao,Dài hạn
41,Zeynep Bastık,Lan,41,-1,1,15649653,True,-42,Rất cao,Ngắn hạn
42,"KAROL G, Peso Pluma",QLONA,5,44,32,15605071,False,2,Rất cao,Dài hạn
43,Bryson Tiller,Whatever She Wants,38,42,4,15593249,False,-1,Rất cao,Ngắn hạn
44,Jimin,Like Crazy,15,66,52,15153206,False,22,Rất cao,Dài hạn
45,Miley Cyrus,Flowers,1,43,62,15095587,False,-2,Rất cao,Dài hạn
46,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna),12,45,42,14997260,False,-1,Cao,Dài hạn
47,Jung Kook,Standing Next to You,1,54,19,14978087,False,7,Cao,Dài hạn
48,Ariana Grande,intro (end of the world),25,25,2,14544539,False,-23,Cao,Ngắn hạn
49,Sabrina Carpenter,Feather,34,58,16,14308961,False,9,Cao,Dài hạn
50,Olivia Rodrigo,vampire,1,49,38,14176829,False,-1,Cao,Dài hạn
51,Harry Styles,As It Was,1,56,103,14167178,False,5,Cao,Dài hạn
52,"Maluma, Carin Leon",Según Quién,17,62,27,14042670,False,10,Cao,Dài hạn
53,David Kushner,Daylight,5,64,49,13801935,False,11,Cao,Dài hạn
54,Bruno Mars,Locked out of Heaven,39,60,93,13718005,False,6,Cao,Dài hạn
55,Rich Amiri,ONE CALL,42,59,8,13692317,False,4,Cao,Trung hạn
56,Coldplay,Viva La Vida,53,63,82,13678617,False,7,Cao,Dài hạn
57,Doja Cat,Paint The Town Red,1,57,33,13607273,False,0,Cao,Dài hạn
58,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,16,65,29,13554538,False,7,Cao,Dài hạn
59,Richy Mitch & The Coal Miners,Evergreen,59,70,10,13421994,False,11,Cao,Trung hạn
60,SZA,Snooze,27,61,65,13207669,False,1,Cao,Dài hạn
61,Dasha,Austin (Boots Stop Workin'),61,127,2,13110504,False,66,Cao,Ngắn hạn
62,Ariana Grande,supernatural,18,18,2,13102845,False,-44,Cao,Ngắn hạn
63,The Weeknd,Blinding Lights,1,73,225,12909685,False,10,Cao,Dài hạn
64,"Fuerza Regida, Marshmello",HARLEY QUINN,11,75,21,12838512,False,11,Cao,Dài hạn
65,Taylor Swift,Lover,2,68,59,12798173,False,3,Cao,Dài hạn
